Entry Number,Region,Gender,Speaker Label,Word,Vowel,Class ID,Time,F1,F2,F3
1,crn_001,female,cxc001,Heed,IY,1,0.927472,379.9281122,2729.485566,3214.294715
2,crn_001,female,cxc001,had,AE,2,2.742436,1022.831987,1560.9682,2222.323339
3,crn_001,female,cxc001,hood,UH,3,7.088748,483.9745028,1390.491019,2562.479507
4,crn_001,female,dmc001,Heed,IY,1,0.419108,406.3528154,2761.237306,3062.408703
5,crn_001,female,dmc001,had,AE,2,2.015043,741.1566556,1701.578669,2609.456654
6,crn_001,female,dmc001,hood,UH,3,6.545775,419.6104986,1676.951524,2880.57871
7,crn_001,female,ejr001,Heed,IY,1,0.75806,340.1691588,2834.469836,2988.714287
8,crn_001,female,ejr001,had,AE,2,2.343022,1014.203029,1717.616505,2778.664561
9,crn_001,female,ejr001,hood,UH,3,8.053353,432.3359898,1361.781421,2531.110623
10,crn_001,female,exc001,Heed,IY,1,0.847547,276.7220422,2806.345583,3240.171787
11,crn_001,female,exc001,had,AE,2,3.05234,948.7923398,1604.258771,2416.53454
12,crn_001,female,exc001,hood,UH,3,8.525151,580.6513152,1437.298017,2837.419814
13,crn_001,female,jmc003,Heed,IY,1,2.403226,367.0022732,2680.548943,3190.59564
14,crn_001,female,jmc003,had,AE,2,3.64019,873.6513608,1715.261361,3003.224732
15,crn_001,female,jmc003,hood,UH,3,6.653263,597.3464632,1699.420389,2692.225648
16,crn_001,male,acr001,Heed,IY,1,2.986714,944.5575818,2444.692004,3060.123273
17,crn_001,male,acr001,had,AE,2,4.105752,824.353818,1654.319402,2469.737127
18,crn_001,male,acr001,hood,UH,3,7.66256,644.704189,1661.716508,2777.806927
19,crn_001,male,bxp001,Heed,IY,1,0.912399,275.2297136,2474.648241,2919.782462
20,crn_001,male,bxp001,had,AE,2,3.612868,865.9976614,1698.063337,2666.791144
21,crn_001,male,bxp001,hood,UH,3,10.579923,831.6729848,2454.897387,3330.397168
22,crn_001,male,cgm001,Heed,IY,1,11.891118,183.9495178,2634.27656,2963.235055
23,crn_001,male,cgm001,had,AE,2,15.069977,867.6434696,1436.283077,2505.574395
24,crn_001,male,cgm001,hood,UH,3,22.986497,723.7922654,1834.928734,2866.907168
25,crn_001,male,cxg001,Heed,IY,1,0.708631,251.093369,2320.177172,3154.326071
26,crn_001,male,cxg001,had,AE,2,2.587673,900.359453,1483.386255,2432.884442
27,crn_001,male,cxg001,hood,UH,3,7.264298,812.7147098,1990.383184,2820.137512
28,crn_001,male,ejd001,Heed,IY,1,0.993375,233.0089418,2284.220956,3072.169204
29,crn_001,male,ejd001,had,AE,2,3.667693,752.7531484,1683.746957,2593.449795
30,crn_001,male,ejd001,hood,UH,3,9.673503,1184.683199,2287.434785,3023.813957
